date,transaction_number,acquiring_party,acquired_party,acquired_entities,title
2019-09-20,20191987,"Sola Ltd, Charitable Trust","Jack Cooper Investments, Inc.","Jack Cooper Investments, Inc.","20191987: Sola Ltd, Charitable Trust; Jack Cooper Investments, Inc."
2019-09-20,20191988,"TCV IX (A), L.P.","Peloton Interactive, Inc.","Peloton Interactive, Inc.","20191988: TCV IX (A), L.P.; Peloton Interactive, Inc."
2019-09-20,20191989,"TCV X, L.P.","Peloton Interactive, Inc.","Peloton Interactive, Inc.","20191989: TCV X, L.P.; Peloton Interactive, Inc."
2019-09-06,20191870,Avon Rubber p.l.c.,3M Company,"Ceradyne, Inc.",20191870: Avon Rubber p.l.c.; 3M Company
2019-09-06,20191887,"Sterling Construction Company, Inc.",Gregory K. Rogers,"Plateau Excavation, Inc.; DeWitt Excavation, LLC; LK Gregory Construction, Inc.","20191887: Sterling Construction Company, Inc.; Gregory K. Rogers"
2019-09-06,20191891,AIA Florence Aggregator LLC,"LS Power Equity Partners III, L.P.","Carville Power Holdings, LLC; Oneta Power Holdings, LLC; Midwest Gen, LLC","20191891: AIA Florence Aggregator LLC; LS Power Equity Partners III, L.P."
2019-09-04,20191862,"Luminus Energy Partners, Ltd.",Valaris plc,Valaris plc,"20191862: Luminus Energy Partners, Ltd.; Valaris plc"
2019-09-03,20191882,"Wind Point Partners CV1, LP","Callery Holdings, LLC","Callery, LLC","20191882: Wind Point Partners CV1, LP; Callery Holdings, LLC"
2019-09-03,20191889,"Grain Communications Opportunities Fund II, L.P","Cable Bahamas,Ltd.",Summit Vista Inc.,"20191889: Grain Communications Opportunities Fund II, L.P; Cable Bahamas,Ltd."
2019-09-03,20191893,GTCR Fund XII/B LP,New York Credit SBIC Fund L.P.,"LeverPoint Management, LLC",20191893: GTCR Fund XII/B LP; New York Credit SBIC Fund L.P.
2019-09-03,20191896,"CCP III AIV VII, L.P.","NVX Holdings, Inc.","Norvax, LLC","20191896: CCP III AIV VII, L.P.; NVX Holdings, Inc."
2019-09-03,20191856,CK Williams UK Holdings Limited,"Macquarie Infrastructure Partners II International, L.P.",Broadrock Management LLC; Broadrock Biopower I LLC,"20191856: CK Williams UK Holdings Limited; Macquarie Infrastructure Partners II International, L.P."
2019-09-03,20191858,IIF US Holding 2 LP,El Paso Electric Company,El Paso Electric Company,20191858: IIF US Holding 2 LP; El Paso Electric Company
2019-09-03,20191859,Marc Andreessen,"Slack Technologies, Inc.","Slack Technologies, Inc.","20191859: Marc Andreessen; Slack Technologies, Inc."
2019-09-03,20191860,Benjamin Horowitz,"Slack Technologies, Inc.","Slack Technologies, Inc.","20191860: Benjamin Horowitz; Slack Technologies, Inc."
2019-09-03,20191868,"Glazer's, Inc.",John K. Gillis,"GLI, Inc.","20191868: Glazer's, Inc.; John K. Gillis"
2019-09-03,20191869,Russel Metals Inc.,City Pipe & Supply Corp. Employee Stock Ownership Trust,City Pipe & Supply Corp.,20191869: Russel Metals Inc.; City Pipe & Supply Corp. Employee Stock Ownership Trust
2019-09-03,20191871,Pilot Corporation,NGL Energy Partners LP,TransMontaigne Product Services LLC,20191871: Pilot Corporation; NGL Energy Partners LP
2019-09-03,20191877,Permira VII L.P. 1,Cambrex Corporation,Cambrex Corporation,20191877: Permira VII L.P. 1; Cambrex Corporation
2019-08-30,20191876,Intact Financial Corporation,Maureen Cowan,11572857 Canada Inc.,20191876: Intact Financial Corporation; Maureen Cowan
2019-08-30,20191881,Broadcom Inc.,Symantec Corporation,Symantec Corporation,20191881: Broadcom Inc.; Symantec Corporation
2019-08-30,20191883,Wayne Quasha,Steven M. Menzies,"Applied Underwriters, Inc.",20191883: Wayne Quasha; Steven M. Menzies
2019-08-30,20191884,Steven M. Menzies,"Berkshire Hathaway, Inc.","AU Holding Company, Inc.","20191884: Steven M. Menzies; Berkshire Hathaway, Inc."
2019-08-30,20191885,Axar Special Opportunity Fund V LLC,The J.G. Wentworth Company,The J.G. Wentworth Company,20191885: Axar Special Opportunity Fund V LLC; The J.G. Wentworth Company
2019-08-30,20191890,Aflac Incorporated,Nicholas M. Kavouklis,"Argus Holdings, LLC",20191890: Aflac Incorporated; Nicholas M. Kavouklis
2019-08-30,20191892,Siemens Aktiengesellschaft,"Corindus Vascular Robotics, Inc.","Corindus Vascular Robotics, Inc.","20191892: Siemens Aktiengesellschaft; Corindus Vascular Robotics, Inc."
2019-08-30,20191898,"New Mountain Partners V, L.P.","New Mountain Partners V (AIV-C), L.P.","Chloe Ox Holdings, LLC","20191898: New Mountain Partners V, L.P.; New Mountain Partners V (AIV-C), L.P."
2019-08-30,20191644,"Carlyle Partners VII Cayman, L.P.",Onex Partners III LP,Onex York Holdings Corp.,"20191644: Carlyle Partners VII Cayman, L.P.; Onex Partners III LP"
2019-08-30,20191865,Lovell Minnick Equity Partners V LP,"InsideRE Holdings, LLC","InsideRE Holdings, LLC","20191865: Lovell Minnick Equity Partners V LP; InsideRE Holdings, LLC"
2019-08-30,20191875,MarketAxess Holdings Inc.,David Rutter,LiquidityEdge LLC,20191875: MarketAxess Holdings Inc.; David Rutter
2019-08-28,20191851,Glaukos Corporation,"Avedro, Inc.","Avedro, Inc.","20191851: Glaukos Corporation; Avedro, Inc."
2019-08-27,20191866,TSG8 L.P.,"Carousel Capital Partners IV, L.P.",JHCC Holdings Parent LLC,"20191866: TSG8 L.P.; Carousel Capital Partners IV, L.P."
2019-08-23,20191838,"Genstar IX AIV, L.P.",Providence Equity Partners VII OEConnection L.P.,"OEConnection Holdings, LLC","20191838: Genstar IX AIV, L.P.; Providence Equity Partners VII OEConnection L.P."
2019-08-23,20191840,Fox Corporation,Credible Labs Inc.,Credible Labs Inc.,20191840: Fox Corporation; Credible Labs Inc.
2019-08-23,20191841,"TPG Growth III (A), L.P.",Larry J. Courtnage,"C&A Industries, Inc.","20191841: TPG Growth III (A), L.P.; Larry J. Courtnage"
2019-08-23,20191842,"Windjammer Senior Equity Fund V, L.P.",BP HH Holdings LLC,BP HH Holdings LLC,"20191842: Windjammer Senior Equity Fund V, L.P.; BP HH Holdings LLC"
2019-08-23,20191843,The Cheesecake Factory Incorporated,Samuel W. Fox,Fox Restaurant Concepts LLC,20191843: The Cheesecake Factory Incorporated; Samuel W. Fox
2019-08-23,20191844,Antin IV Finco Sarl.,Veolia Environnement S.A.,"Thermal North America, Inc.",20191844: Antin IV Finco Sarl.; Veolia Environnement S.A.
2019-08-23,20191845,EFR Group Holdings S.a.r.l.,"Cumberland Farms, Inc.","Cumberland Farms, Inc.","20191845: EFR Group Holdings S.a.r.l.; Cumberland Farms, Inc."
2019-08-23,20191846,"salesforce.com, inc.",Optimizer CaymanCo Limited,ClickSoftware Technologies Ltd.,"20191846: salesforce.com, inc.; Optimizer CaymanCo Limited"
2019-08-23,20191852,"Tenex Capital Partners II, L.P.","Quad-C Partners VIII, L.P.","Quad-C Wolf Holdings, Inc.","20191852: Tenex Capital Partners II, L.P.; Quad-C Partners VIII, L.P."
2019-08-23,20191853,Chemed Corporation,ORIX Corporation,"HSW RR, Inc.; Western Drain Supply, Inc.; Hoffman Texas, Inc.; Hoffman Southwest Corp.; Hoffman Utah, Inc.; HSW ProPipe Inc.",20191853: Chemed Corporation; ORIX Corporation
2019-08-23,20191861,Cornell Capital Partners LP,Southfield Vanguard Investment LP,Spectrum Automotive Holdings Corp,20191861: Cornell Capital Partners LP; Southfield Vanguard Investment LP
2019-08-23,20191829,CVC Capital Partners VII (A) L.P.,Robert Bosch Industrietreuhand KG,Robert Bosch Packaging Technology GmbH,20191829: CVC Capital Partners VII (A) L.P.; Robert Bosch Industrietreuhand KG
2019-08-23,20191834,Assured Guaranty Ltd.,"Affiliated Managers Group, Inc.","BlueMountain Capital Management, LLC; BlueMountain GP Holdings, LLC","20191834: Assured Guaranty Ltd.; Affiliated Managers Group, Inc."
2019-08-23,20191835,"Genstar Capital Partners IX, L.P.","Primus Capital Fund VII, LP",Forte Research Holding Company,"20191835: Genstar Capital Partners IX, L.P.; Primus Capital Fund VII, LP"
2019-08-23,20191837,Eurazeo SE,"Thoma Bravo Discover Fund, L.P.","Elemica Parent, Inc.","20191837: Eurazeo SE; Thoma Bravo Discover Fund, L.P."
2019-08-20,20190659,"Nexstar Media Group, lnc.",Tribune Media Company,Tribune Media Company,"20190659: Nexstar Media Group, lnc.; Tribune Media Company"
2019-08-20,20191790,"New Mountain Partners V (AIV-D), L.P.",Tracy A. Wade,"Washington & West, LLC","20191790: New Mountain Partners V (AIV-D), L.P.; Tracy A. Wade"
2019-08-20,20191791,"New Mountain Partners V (AIV-D), L.P.",Linda M. Fotheringill,"Washington & West, LLC","20191791: New Mountain Partners V (AIV-D), L.P.; Linda M. Fotheringill"
2019-08-20,20191826,"Genstar Capital Partners IX, L.P.","Worldwide Facilities Holdings, LLC","Worldwide Facilities Holdings, LLC","20191826: Genstar Capital Partners IX, L.P.; Worldwide Facilities Holdings, LLC"
2019-08-19,20191807,"Roper Technologies, Inc.","iPipeline Holdings, Inc.","iPipeline Holdings, Inc.","20191807: Roper Technologies, Inc.; iPipeline Holdings, Inc."
2019-08-19,20191816,Orion US Holdings 1 L.P.,AltaGas Ltd.,"Arcadia Solar, LLC; Arcadia Fuel Cell, LLC; SFEE, LLC; SFGF, LLC; SFGF II, LLC; SFRC, LLC; SF ECHO LLC; ASD Solar, LP",20191816: Orion US Holdings 1 L.P.; AltaGas Ltd.
2019-08-05,20191737,"Silver Lake Alpine, L.P.",PSG PS Co-Investors L.P.,"PaySimple Holdings, Inc.","20191737: Silver Lake Alpine, L.P.; PSG PS Co-Investors L.P."
2019-08-05,20191739,Blackstone Capital Partners VII L.P.,"Vungle, Inc.","Vungle, Inc.","20191739: Blackstone Capital Partners VII L.P.; Vungle, Inc."
2019-08-02,20191716,"One Rock Capital Partners II, LP",Actuant Corporation,"Engineered Components and Systems II,","20191716: One Rock Capital Partners II, LP; Actuant Corporation"
2019-08-02,20191721,Tinicum L.P.,"Platte River Ventures II, L.P.","TSI Holdco, Inc.; Sierra Alloys Holdings, Inc.","20191721: Tinicum L.P.; Platte River Ventures II, L.P."
2019-08-02,20191722,"The Baring Asia Private Equity Fund VII, L.P.",CitiusTech Healthcare Technology Private Limited,CitiusTech Healthcare Technology Private Limited,"20191722: The Baring Asia Private Equity Fund VII, L.P.; CitiusTech Healthcare Technology Private Limited"
2019-08-02,20191726,"Etsy, Inc.",David A. Kalt,"Reverb Holdings, Inc.","20191726: Etsy, Inc.; David A. Kalt"
2019-08-02,20191729,"Dot Family Holdings, LLC",The 2015 Siegfried Family Trust,Omni Cable LLC,"20191729: Dot Family Holdings, LLC; The 2015 Siegfried Family Trust"
2019-08-02,20191730,AEA Investors Fund VII LP,Big Jack Ultimate Holdings LP,Big Jack Ultimate Holdings LP,20191730: AEA Investors Fund VII LP; Big Jack Ultimate Holdings LP
2019-08-02,20191745,Aquiline Financial Services Fund IV L.P.,"North Haven CA Aggregator, LLC","North Haven CA Parent, Inc.","20191745: Aquiline Financial Services Fund IV L.P.; North Haven CA Aggregator, LLC"
2019-08-02,20191746,"CIP Capital Fund II, L.P.",Stephen Anderson,Loop LLC,"20191746: CIP Capital Fund II, L.P.; Stephen Anderson"
2019-08-02,20191445,Sonoco Products Company,MDCP VII-A Global Investments LP,Corenso Holdings America Inc.,20191445: Sonoco Products Company; MDCP VII-A Global Investments LP
2019-08-02,20191715,Ontario Power Generation Inc.,ISQ Hydro Aggregator LLC,"Cube Hydro Partners, LLC; Helix Partners LLC",20191715: Ontario Power Generation Inc.; ISQ Hydro Aggregator LLC
2019-07-31,20191424,"DC Front Range Holdings I, LP","Zayo Group Holdings, Inc.","Zayo Group Holdings, Inc.","20191424: DC Front Range Holdings I, LP; Zayo Group Holdings, Inc."
2019-07-31,20191425,EQT Infrastructure IV (B) SCSp,"Zayo Group Holdings, Inc.","Zayo Group Holdings, Inc.","20191425: EQT Infrastructure IV (B) SCSp; Zayo Group Holdings, Inc."
2019-07-31,20191529,Infineon Technologies AG,Cypress Semiconductor Corporation,Cypress Semiconductor Corporation,20191529: Infineon Technologies AG; Cypress Semiconductor Corporation
2019-07-31,20191616,Linden Capital Partners IV-A LP,CMI Holdings L.P.,"CMI Parent, Inc.",20191616: Linden Capital Partners IV-A LP; CMI Holdings L.P.
2019-07-19,20191657,"NexPhase Capital Fund III, L.P.","New Harbor Capital Fund, LP","Kure Pain Holdings, Inc.","20191657: NexPhase Capital Fund III, L.P.; New Harbor Capital Fund, LP"
2019-07-30,20190482,Amas Holding SPF,Quaker Chemical Corporation,Quaker Chemical Corporation,20190482: Amas Holding SPF; Quaker Chemical Corporation
2019-07-29,20191661,"CCP III AIV IV, L.P.","Catalyst Institute, Inc.","DentaQuest Group, Inc.","20191661: CCP III AIV IV, L.P.; Catalyst Institute, Inc."
2019-07-29,20191665,"HealthEquity, Inc.","WageWorks, Inc.","WageWorks, Inc.","20191665: HealthEquity, Inc.; WageWorks, Inc."
2019-07-29,20191690,DeOro Foods LLC,JHT Family 2009 Trust,Keystone Foods LLC,20191690: DeOro Foods LLC; JHT Family 2009 Trust
2019-07-29,20191691,"Nexus Special Situations II, L.P.","FTD Companies, Inc.","Florists' Transworld Delivery, Inc.; Bloom That, Inc.; Provide Commerce, Inc.; FTD.COM Inc.; FlowerFarm, Inc.; FTD.CA, Inc.; FTD, Inc.","20191691: Nexus Special Situations II, L.P.; FTD Companies, Inc."
2019-07-29,20191700,TCV X L.P.,Amalco,Amalco,20191700: TCV X L.P.; Amalco
2019-07-29,20191712,Lindsay Goldberg IV L.P.,Creation Technologies Inc.,Creation Technologies Inc.,20191712: Lindsay Goldberg IV L.P.; Creation Technologies Inc.
2019-07-26,20191702,"ABRY Partners IX, L.P.","KAMC Holdings, Inc.","KAMC Holdings, Inc.","20191702: ABRY Partners IX, L.P.; KAMC Holdings, Inc."
2019-07-26,20191703,Permira VI L.P. 1,Yael Aflalo,LYMI Inc.,20191703: Permira VI L.P. 1; Yael Aflalo
2019-07-26,20191682,Stanley C. Middleman,Joseph C. Lewis,RoundPoint Mortgage Servicing Corporation,20191682: Stanley C. Middleman; Joseph C. Lewis
2019-07-26,20191685,"Insight Enterprises, Inc.","PCM, Inc.","PCM, Inc.","20191685: Insight Enterprises, Inc.; PCM, Inc."
2019-07-26,20191686,"Sekisui Chemical Co., Ltd.","AIM Aerospace Holdings, LLC",AIM Aerospace Corporation,"20191686: Sekisui Chemical Co., Ltd.; AIM Aerospace Holdings, LLC"
2019-07-26,20191694,UGI Corporation,TC Energy Corporation,"Columbia Midstream Group, LLC",20191694: UGI Corporation; TC Energy Corporation
2019-07-26,20191695,"General Atlantic Partners AIV-1 B, L.P.","Elevate Brandpartners, L.P.","Morphe Holdings, LLC","20191695: General Atlantic Partners AIV-1 B, L.P.; Elevate Brandpartners, L.P."
2019-07-26,20191696,FS Investment Corporation II,FS Investment Corporation III,FS Investment Corporation III,20191696: FS Investment Corporation II; FS Investment Corporation III
2019-07-26,20191697,FS Investment Corporation II,FS Investment Corporation IV,FS Investment Corporation IV,20191697: FS Investment Corporation II; FS Investment Corporation IV
2019-07-26,20191698,FS Investment Corporation II,Corporate Capital Trust II,Corporate Capital Trust II,20191698: FS Investment Corporation II; Corporate Capital Trust II
2019-07-26,20191701,Albert H. Nahmad,Brian G. Peirce,"Peirce-Phelps, Inc.",20191701: Albert H. Nahmad; Brian G. Peirce
2019-07-18,20191598,"Keane Group, Inc.","C&J Energy Services, Inc.","C&J Energy Services, Inc.","20191598: Keane Group, Inc.; C&J Energy Services, Inc."
2019-07-18,20191612,BDT Sunrise Holdings LLC,Tres Aguilas Enterprises LLC,Whatabrands LLC,20191612: BDT Sunrise Holdings LLC; Tres Aguilas Enterprises LLC
2019-07-18,20191622,Frontier Cooperative Company,Midwest Farmers Cooperative,Midwest Farmers Cooperative,20191622: Frontier Cooperative Company; Midwest Farmers Cooperative
2019-07-18,20191642,"Quad-C Partners IX, L.P.","The Resolute Fund III, L.P.","Unitrans Holdings, Inc.","20191642: Quad-C Partners IX, L.P.; The Resolute Fund III, L.P."
2019-07-17,20191344,"The Greenbrier Companies, Inc.",ITE Rail Fund L.P.,"American Railcar Industries, Inc.","20191344: The Greenbrier Companies, Inc.; ITE Rail Fund L.P."
2019-07-17,20191561,"AP IX Sherwood Holdings, L.P.","Shutterfly, Inc.","Shutterfly, Inc.","20191561: AP IX Sherwood Holdings, L.P.; Shutterfly, Inc."
2019-07-17,20191648,Arsenal Capital Partners V LP,Dhu C. and Mary Ellen Thompson,"Delta Plastics Holdings, LLC",20191648: Arsenal Capital Partners V LP; Dhu C. and Mary Ellen Thompson
2019-07-17,20190772,New Omaha Holdings L.P.,"Fiserv, Inc.","Fiserv, Inc.","20190772: New Omaha Holdings L.P.; Fiserv, Inc."
2019-07-17,20190773,Fiserv Inc.,New Omaha Holdings L.P.,First Data Corporation,20190773: Fiserv Inc.; New Omaha Holdings L.P.
2019-07-16,20191563,"The Veritas Capital Fund V, L.P.",David H. Kellogg & Twila B. Kellogg,Solers Inc.,"20191563: The Veritas Capital Fund V, L.P.; David H. Kellogg & Twila B. Kellogg"
2019-07-16,20191643,"Extreme Networks, Inc.","Aerohive Networks, Inc.","Aerohive Networks, Inc.","20191643: Extreme Networks, Inc.; Aerohive Networks, Inc."
2019-07-16,20191651,"JFL AIV Investors III-JA, L.P.","US Ecology, Inc.","US Ecology Parent, Inc.","20191651: JFL AIV Investors III-JA, L.P.; US Ecology, Inc."
2019-07-16,20191653,"Reyes Holdings, L.L.C.",David B. Ingram and Sarah L. Ingram,"DBI Beverage, Inc.; DBI Beverage Napa; DBI Beverage San Joaquin; DBI Beverage San Francisco; DBI Beverage San Jose; DBI Beverage Sacramento","20191653: Reyes Holdings, L.L.C.; David B. Ingram and Sarah L. Ingram"
2019-07-15,20191632,"AIF IX (PMC Equity AIV), L.P.",Cox Family Voting Trust u/a/d 7/26/13,"Georgia Television, LLC; Cox Media Group NE, Inc.; Cox Radio, Inc.; WSOC Television LLC; WFTV, LLC; CCI News Service, Inc.; WPXI, LLC; Miami Valley Broadcasting Corporation; Cox Television Jacksonville, LLC; Cox Media Group Ohio, Inc.; Cox Reps, Inc.; KIRO-TV, Inc.","20191632: AIF IX (PMC Equity AIV), L.P.; Cox Family Voting Trust u/a/d 7/26/13"
2019-07-15,20191641,Cox Family Voting Trust u/a/d 7/26/13,"AIF IX (PMC Equity AIV), L.P.","Terrier Media Buyer, Inc.","20191641: Cox Family Voting Trust u/a/d 7/26/13; AIF IX (PMC Equity AIV), L.P."
2019-06-28,20191552,"Accel-KKR Capital Partners V, LP","Sandata Holdings, Inc.","Sandata Technologies, LLC","20191552: Accel-KKR Capital Partners V, LP; Sandata Holdings, Inc."
2019-06-28,20191555,"Carlyle U.S. Equity Opportunity Fund II, L.P.","Alpine Investors V, LP","Optima Healthcare Solutions, LLC","20191555: Carlyle U.S. Equity Opportunity Fund II, L.P.; Alpine Investors V, LP"
2019-06-28,20191226,"Vista Equity Partners Fund VII-A, L.P.","VEPF IV AIV VIII, L.P.","STATS Greater Holdings, LLC","20191226: Vista Equity Partners Fund VII-A, L.P.; VEPF IV AIV VIII, L.P."
2019-06-28,20191493,Lovell Minnick Equity Partners IV LP,Piper Jaffray Companies,"Advisory Research, Inc.",20191493: Lovell Minnick Equity Partners IV LP; Piper Jaffray Companies
2019-06-26,20191474,Global Payments Inc.,"Total System Services, Inc.","Total System Services, Inc.","20191474: Global Payments Inc.; Total System Services, Inc."
2019-06-26,20191513,"Cedar Fair, L.P.","Bahn Consolidated, Inc.","SVV I, LLC; Liberty Partnership, Ltd.; Waterpark Management, Inc.; KC Waterpark Management, LLC; Henry-Walnut, Ltd.; Henry Condo I, Ltd.; Golden Seal Investments, Inc.","20191513: Cedar Fair, L.P.; Bahn Consolidated, Inc."
2019-06-26,20191531,Azalea Parent Holdings LP,EQT VII (No. 1) Limited Partnership,"Emerald Topco, Inc.",20191531: Azalea Parent Holdings LP; EQT VII (No. 1) Limited Partnership
2019-06-25,20191427,"Trinity Ventures XII, L.P.","Auth0, Inc.","Auth0, Inc.","20191427: Trinity Ventures XII, L.P.; Auth0, Inc."
2019-06-25,20191429,Serco Group plc,"The Veritas Capital Fund V, L.P.",Alion Science and Technology Corporation; Alion Science and Technology (Canada) Corporation; Alion IPS Corporation,"20191429: Serco Group plc; The Veritas Capital Fund V, L.P."
2019-06-25,20191433,"TPG Growth IV, L.P.","AG Growth Capital Partners I, L.P.","Crunch Holdings, LLC","20191433: TPG Growth IV, L.P.; AG Growth Capital Partners I, L.P."
2019-06-25,20191470,"LNK Partners III, L.P.","LTF Holdings, Inc.","LTF Holdings, Inc.","20191470: LNK Partners III, L.P.; LTF Holdings, Inc."
2019-06-25,20191483,Michael S. Dell,"LTF Holdings, Inc.","LTF Holdings, Inc.","20191483: Michael S. Dell; LTF Holdings, Inc."
2019-06-25,20191495,"CD Clean Energy and Infrastructure VII JV, LLC","William O. Perkins, III","Skylar Townsite, LLC","20191495: CD Clean Energy and Infrastructure VII JV, LLC; William O. Perkins, III"
2019-06-25,20191503,Aberdeen Standard Carlsbad LP,Stonepeak Infrastructure Fund (Orion AIV) LP,Poseidon Resources Channelside Holdings LLC,20191503: Aberdeen Standard Carlsbad LP; Stonepeak Infrastructure Fund (Orion AIV) LP
2019-06-25,20191510,"Rubicon Technology Partners II, L.P.",The AES Corporation,"Simple Energy, Inc.","20191510: Rubicon Technology Partners II, L.P.; The AES Corporation"
2019-06-25,20191519,"Oaktree Opportunities Fund Xb AIF, L.P",Martin Midstream Partners L.P.,"Monroe Gas Storage Company, LLC; Perryville Gas Storage LLC; Cadeville Gas Storage LLC; Arcadia Gas Storage, LLC","20191519: Oaktree Opportunities Fund Xb AIF, L.P; Martin Midstream Partners L.P."
2019-06-25,20191520,"Samurai Holdings, LLC",Blackstone Capital Partners VI-NQ/NF L.P.,LFS TopCo LLC,"20191520: Samurai Holdings, LLC; Blackstone Capital Partners VI-NQ/NF L.P."
2019-06-21,20191525,Michael S.Dell,"Avi Networks, Inc.","Avi Networks, Inc.","20191525: Michael S.Dell; Avi Networks, Inc."
2019-06-21,20191494,EQT VIII Co-Investment (D) SCSp,Nestle S. A.,Nestle Skin Health S.A.,20191494: EQT VIII Co-Investment (D) SCSp; Nestle S. A.
2019-06-21,20191497,"Searchlight Capital II OPT Co-Invest Partners, L.P",Frontier Communications Corporation,Citizens Telecommunications Company of Idaho; Citizens Telecommunications Company of Montana; Frontier Communications Northwest Inc.; Citizens Telecommunications Company of Oregon,"20191497: Searchlight Capital II OPT Co-Invest Partners, L.P; Frontier Communications Corporation"
2019-06-21,20191502,"Gauge Capital II, L.P.","Schlesinger Holdings, Inc.","Group Parent, LLC","20191502: Gauge Capital II, L.P.; Schlesinger Holdings, Inc."
2019-06-21,20191504,"H&R Block, Inc.",Wave Financial Inc.,Wave Financial Inc.,"20191504: H&R Block, Inc.; Wave Financial Inc."
2019-06-21,20191511,SoftBank Vision Fund L.P.,Katerra Inc.,Katerra Inc.,20191511: SoftBank Vision Fund L.P.; Katerra Inc.
2019-06-19,20191467,"Green Equity Investors Side VII, L.P.",Dr. Abram Schumacher,"Milan Laser Holdings, LLC","20191467: Green Equity Investors Side VII, L.P.; Dr. Abram Schumacher"
2019-06-19,20191468,"Green Equity Investors Side VII, L.P.",Dr. Shikhar Saxena,"Milan Laser Holdings, LLC","20191468: Green Equity Investors Side VII, L.P.; Dr. Shikhar Saxena"
2019-06-18,20191469,"Nagase & Co., Ltd.",Ronald Juergens,Prinova Group LLC,"20191469: Nagase & Co., Ltd.; Ronald Juergens"
2019-06-18,20191473,Valence ST LP,TCFI CP LLC,Valence Surface Technologies LLC,20191473: Valence ST LP; TCFI CP LLC
2019-06-14,20191477,GI Partners Fund V LP,"Huskies Parent, Inc.","Huskies Parent, Inc.","20191477: GI Partners Fund V LP; Huskies Parent, Inc."
2019-06-14,20191478,"The Goldman Sachs Group, Inc.","United Capital Financial Partners, Inc.","United Capital Financial Partners, Inc.","20191478: The Goldman Sachs Group, Inc.; United Capital Financial Partners, Inc."
2019-06-14,20191479,Letterone Investment Holdings S.A.,ICG Europe Fund V No. 1 LP,Loparex International Holding B.V.,20191479: Letterone Investment Holdings S.A.; ICG Europe Fund V No. 1 LP
2019-06-14,20191480,"Warburg Pincus Global Growth, L.P.","Olympus Growth Fund V, L.P.",Pregis TopCo Corporation,"20191480: Warburg Pincus Global Growth, L.P.; Olympus Growth Fund V, L.P."
2019-06-14,20191442,"Pamlico Capital IV, L.P.",Dr. David W. Shoemaker,"US Eye Acquisition, LLC","20191442: Pamlico Capital IV, L.P.; Dr. David W. Shoemaker"
2019-06-14,20191482,"Leeds Equity Partners VI, L.P.",Rubicon Technology Partners II L.P.,"Scaled Agile Holdings, LLC","20191482: Leeds Equity Partners VI, L.P.; Rubicon Technology Partners II L.P."
2019-06-14,20191448,Joseph Mansueto,Ratings Acquisition Corp.,Ratings Acquisition Corp.,20191448: Joseph Mansueto; Ratings Acquisition Corp.
2019-06-14,20191484,Gesa Credit Union,Inspirus Credit Union,Inspirus Credit Union,20191484: Gesa Credit Union; Inspirus Credit Union
2019-06-14,20191454,Armistice Capital Offshore Fund Ltd.,Cerecor Inc.,Cerecor Inc.,20191454: Armistice Capital Offshore Fund Ltd.; Cerecor Inc.
2019-06-14,20191485,Axel och Margaret Ax:son Johnsons stiftelse,David T. and Joanne S. Davis,"D.T. Davis Enterprises, Ltd.",20191485: Axel och Margaret Ax:son Johnsons stiftelse; David T. and Joanne S. Davis
2019-06-14,20191455,Dr.Fritz Faulhaber GmbH& Co. KG,Ping Pan Faulhaber,"MicroMo Electronics, Inc",20191455: Dr.Fritz Faulhaber GmbH& Co. KG; Ping Pan Faulhaber
2019-06-14,20191456,CVC Capital Partners VII (A) L.P.,Frank Vitiello,Vitech (Global) Investment Holding L.P.,20191456: CVC Capital Partners VII (A) L.P.; Frank Vitiello
2019-06-14,20191457,Pivotal Acquisition Corp.,"CEOF II DE I AIV, L.P.","LD Topco, Inc.","20191457: Pivotal Acquisition Corp.; CEOF II DE I AIV, L.P."
2019-06-14,20191459,Rhone Partners V L.P.,Schlumberger N.V. (Schlumberger Limited),"Schlumberger N.V. (Schlumberger Limited); Thomas Energy Services, LLC",20191459: Rhone Partners V L.P.; Schlumberger N.V. (Schlumberger Limited)
2019-06-14,20191462,"RF Parent, Inc.","Recorded Future, Inc.","Recorded Future, Inc.","20191462: RF Parent, Inc.; Recorded Future, Inc."
2019-06-14,20191464,"Golden Gate Capital Opportunity Fund, L.P.",Bon Secours Mercy Health,"Ensemble Health Partners Holdings, LLC","20191464: Golden Gate Capital Opportunity Fund, L.P.; Bon Secours Mercy Health"
2019-06-14,20191465,"Palo Alto Networks, Inc.",Twistlock Ltd.,Twistlock Ltd.,"20191465: Palo Alto Networks, Inc.; Twistlock Ltd."
2019-06-14,20191472,"West Street Capital Partners VII, L.P.","MED ParentCo, LP","MED ParentCo, LP","20191472: West Street Capital Partners VII, L.P.; MED ParentCo, LP"
2019-06-14,20191475,"Thomas H. Lee Parallel Fund VIII, L.P.","Francisco Partners III (Domestic AIV), L.P.",Nextech Holdings LLC,"20191475: Thomas H. Lee Parallel Fund VIII, L.P.; Francisco Partners III (Domestic AIV), L.P."
2019-06-13,20191423,"KPS Special Situations Fund IV, LP",Colfax Corporation,"Howden Construction Services, Inc.; Howden Roots LLC; Howden American Fan Company","20191423: KPS Special Situations Fund IV, LP; Colfax Corporation"
2019-06-12,20191325,Sinocare Inc.,Shenzhen Xinnuo Health Industry Investment Limited,Shenzhen Xinnuo Health Industry Investment Limited,20191325: Sinocare Inc.; Shenzhen Xinnuo Health Industry Investment Limited
