date,transaction_number,acquiring_party,acquired_party,acquired_entities,title
2004-02-04,20040407,"Pegasus Related Partners, L.P.","Property Risk Services, LLC","Property Risk Services, LLC","20040407: Pegasus Related Partners, L.P.; Property Risk Services, LLC"
2004-01-27,20040397,Ford Motor Company,ZF Friedrichshafen AG,"ZF Batavia, LLC",20040397: Ford Motor Company; ZF Friedrichshafen AG
2004-02-09,20040454,Wells Fargo & Company,Jacobson Warehouse Company Employee Stock Ownership Plan,"Jacobson Warehouse Company, Inc.",20040454: Wells Fargo & Company; Jacobson Warehouse Company Employee Stock Ownership Plan
2004-02-03,20040438,Sir Frederick Barclay,Lord Black of Crossharbour,"Hollinger, Inc.",20040438: Sir Frederick Barclay; Lord Black of Crossharbour
2004-01-27,20040394,Comcast Corporation,"TVMAX Holdings, Inc.","TVMAX Colorado, Inc.; TVMAX DFW, L.P.; TVMAX Georgia Inc.; TVMAX Miami, Inc.; TVMAX N. California, Inc.; TVMAX Tampa, LLC","20040394: Comcast Corporation; TVMAX Holdings, Inc."
2004-02-09,20040441,"Charlesbank Equity Fund V, Limited Partnership",Duke Energy Corporation,"Duke Energy Field Services, LP","20040441: Charlesbank Equity Fund V, Limited Partnership; Duke Energy Corporation"
2004-02-03,20040418,Sir David Barclay,Lord Black of Crossharbour,"Hollinger, Inc.",20040418: Sir David Barclay; Lord Black of Crossharbour
2004-01-27,20040392,Teleglobe Holdings LLC,ITXC Corp.,ITXC Corp.,20040392: Teleglobe Holdings LLC; ITXC Corp.
2004-03-04,20040466,Lap Shun (John) Hui,"Gateway, Inc.","Gateway, Inc.","20040466: Lap Shun (John) Hui; Gateway, Inc."
2004-02-26,20040431,"Anthem, Inc.",WellPoint Health Networks Inc.,WellPoint Health Networks Inc.,"20040431: Anthem, Inc.; WellPoint Health Networks Inc."
2004-02-17,20040469,Blackstone Capital Partners (Cayman) IV L.P.,Celanese AG,Celanese AG,20040469: Blackstone Capital Partners (Cayman) IV L.P.; Celanese AG
2004-03-02,20040520,"Yucaipa Corporate Initiatives Fund I, L.P.","Piccadilly Cafeterias, Inc.","Piccadilly Cafeterias, Inc.","20040520: Yucaipa Corporate Initiatives Fund I, L.P.; Piccadilly Cafeterias, Inc."
2004-02-26,20040114,Poydras Street Investors L.L.C.,"Miller Brands of Phoenix, LLC","Pearce Beverage Company, LLC","20040114: Poydras Street Investors L.L.C.; Miller Brands of Phoenix, LLC"
2004-02-17,20040468,Robert G. Miller,Sipex Corporation,Sipex Corporation,20040468: Robert G. Miller; Sipex Corporation
2004-03-02,20040516,Nexfor Inc.,MeadWestvaco Corporation,Northwood Panelboard Company,20040516: Nexfor Inc.; MeadWestvaco Corporation
2004-02-25,20040497,"Perseus Market Opportunity Fund, L.P.","Workflow Management, Inc.","Workflow Management, Inc.","20040497: Perseus Market Opportunity Fund, L.P.; Workflow Management, Inc."
2004-02-17,20040465,"Wind Point Partners V, L.P.","Nonni's Food Company, Inc.","Nonni's Food Company, Inc.","20040465: Wind Point Partners V, L.P.; Nonni's Food Company, Inc."
2004-03-02,20040483,Connetics Corporation,Fritz Gerber,Hoffman-La Roche Inc.,20040483: Connetics Corporation; Fritz Gerber
2004-02-25,20040472,"Weston Presidio Capital IV, L.P.","HWH Capital Partners, L.P.","NBC Acquisition Corp.,","20040472: Weston Presidio Capital IV, L.P.; HWH Capital Partners, L.P."
2004-02-17,20040464,"Wis-Pak, Inc.",Douglas C. Malmquist,"M.B.C., Inc.","20040464: Wis-Pak, Inc.; Douglas C. Malmquist"
